id,titulo,precio_usd,dormitorios,banos,m2,m2_construidos,zona,latitud,longitud,anio_construccion,antiguedad_anos,es_proyecto,estado,link,imagen
192940548,"Apartamento en Rincón del Indio, Playa Brava",530000.0,3.0,3.0,192.0,129.0,Rincón del Indio,-34.9281905,-54.8917978,,,False,1,https://www.infocasas.com.uy/apartamento-en-rincon-del-indio-playa-brava/192940548,https://cdn1.infocasas.com.uy/web/68de9e30cccb4_infocdn.jpg
193166591,Venta Apto 2D Brava Punta prox mar con Amenities,220000.0,2.0,1.0,51.0,55.0,Playa Brava,-34.9490957,-54.9311706,,,False,1,https://www.infocasas.com.uy/venta-apto-2d-brava-punta-prox-mar-con-amenities/193166591,https://cdn1.infocasas.com.uy/repo/img/974465_TRU-778-TRA_805.jpg
193412054,Venetian Luxury Residences de 3 dormitorios en venta,1590000.0,3.0,4.0,189.0,254.0,Playa Mansa,-34.928953297746304,-54.959819366531406,2021.0,,False,1,https://www.infocasas.com.uy/venetian-luxury-residences-de-3-dormitorios-en-venta/193412054,https://cdn1.infocasas.com.uy/repo/img/405_CCP-39730-TRA_458.jpg
193483596,Venta apartamento de 2 dormitorios con gran terraza en Punta del Este,230000.0,2.0,2.0,132.0,0.0,Aidy Grill,-34.9482204,-54.9295258,,,False,1,https://www.infocasas.com.uy/venta-apartamento-de-2-dormitorios-con-gran-terraza-en-punta-del-este/193483596,https://cdn1.infocasas.com.uy/web/69b015b3173db_infocdn.jpg
192111065,"Venta Apartamento de Cuatro Dormitorio en Playa Mansa, Punta del Este",1000000.0,4.0,2.0,344.0,170.0,Playa Mansa,-34.9264249,-54.959136,,,False,1,https://www.infocasas.com.uy/venta-apartamento-de-cuatro-dormitorio-en-playa-mansa-punta-del-este/192111065,https://cdn1.infocasas.com.uy/web/67ca9da5c185c_infocdn.jpg
192741510,Venta de Apartamento de 3 Dormitorios en Laguna del Diario,850000.0,3.0,3.0,266.0,266.0,Laguna del Diario,-34.9084837,-55.0187062,,,False,1,https://www.infocasas.com.uy/venta-de-apartamento-de-3-dormitorios-en-laguna-del-diario/192741510,https://cdn1.infocasas.com.uy/web/689ae9e0eb217_infocdn.jpg
193497007,"(BPV-BPV-11030)  Venta de apartamento 1 dormitorio La Cañada, Punta del Este, Maldonado",135000.0,1.0,1.0,60.0,50.0,Playa Mansa,-34.916725,-54.962884,2026.0,,False,1,https://www.infocasas.com.uy/bpvbpv11030-venta-de-apartamento-1-dormitorio-la-cañada-punta-del-este-maldonado/193497007,https://cdn1.infocasas.com.uy/repo/img/279_BPV-BPV-11030_396.jpg
193541207,TRUMP TOWER DE TRES DORMITORIOS Y SERVICIO EN VENTA PUNTA DEL ESTE,1550000.0,3.0,3.0,227.0,310.0,Playa Brava,-34.94620020251199,-54.921649112103275,,,False,1,https://www.infocasas.com.uy/trump-tower-de-tres-dormitorios-y-servicio-en-venta-punta-del-este/193541207,https://cdn1.infocasas.com.uy/repo/img/405_CCP-39868-TRA_127.jpg
193625800,Venta Departamento a estrenar 3 dormitorios  Aidy Grill Punta del Este,340000.0,3.0,2.0,94.0,75.0,Aidy Grill,-34.9440548,-54.9300551,,,False,1,https://www.infocasas.com.uy/venta-departamento-a-estrenar-3-dormitorios-aidy-grill-punta-del-este/193625800,https://cdn1.infocasas.com.uy/web/69df362aae42c_infocdn.jpg
193360550,Venta apartamento 3 Dormitorios con parrillero Propio Playa Brava,650000.0,3.0,3.0,131.0,199.0,Playa Brava,-34.9439419825529,-54.92169816773683,2018.0,,False,1,https://www.infocasas.com.uy/venta-apartamento-3-dormitorios-con-parrillero-propio-playa-brava/193360550,https://cdn1.infocasas.com.uy/repo/img/192_AIXA-1576-TRA_131.jpg
